"target","cost"
50247,11.707
50445,45.485
50719,11.171
50428,17.615
50534,15.402
50253,28.086
50592,4.200
50594,2.992
50742,25.168
50289,52.868
50112,13.658
50608,6.057
50225,10.295
50395,31.417
50309,30.889
50419,28.262
50187,6.627
50035,40.387
50262,29.176
50209,24.282
50052,37.366
50505,20.280
50619,1.940
50351,26.952
50023,13.324
50096,57.766
50053,47.633
50125,58.855
50264,30.659
50007,24.077
50229,53.711
50405,11.010
50104,24.102
50611,9.510
50648,15.341
50296,7.705
50126,26.268
50647,14.128
50627,13.351
50364,21.715
50725,4.506
50321,21.159
50348,37.509
50767,11.066
50761,25.741
50394,27.071
50220,50.635
50249,82.205
50113,24.421
50337,61.104
50064,38.792
50530,16.000
50160,81.805
50055,35.670
50068,42.137
50183,27.816
50470,49.713
50620,13.599
50335,22.848
50048,54.847
50015,23.891
50609,2.426
50554,10.389
50203,32.801
50441,6.952
50749,17.761
50449,23.682
50501,20.762
50182,44.110
50316,36.621
50646,14.762
50552,9.247
50025,16.505
50165,13.441
50757,30.192
50002,31.032
50189,14.549
50721,48.625
50643,10.774
50396,33.957
50586,3.435
50157,56.066
50639,12.403
50145,31.461
50340,8.054
50442,17.361
50090,79.060
50310,30.501
50674,25.072
50432,13.577
50094,10.914
50513,18.056
50473,32.514
50617,8.328
50233,36.558
50430,9.772
50765,26.706
50255,22.927
50718,4.980
50603,5.820
50277,51.850
50651,16.615
50301,1.653
50161,20.443
50274,25.509
50556,10.011
50524,16.566
50766,12.365
50036,17.425
50080,16.711
50515,20.514
50059,45.838
50760,15.453
50050,7.924
50193,21.213
50551,13.626
50110,21.278
50338,22.174
50499,21.091
50374,22.742
50245,5.528
50636,12.296
50287,37.915
50360,46.739
50682,21.454
50325,44.122
50353,8.117
50375,28.177
50128,52.426
50362,30.030
50423,29.917
50642,9.308
50079,25.037
50328,31.381
50175,23.188
50751,9.282
50741,12.942
50270,62.761
50333,41.969
50269,32.677
50618,12.414
50313,43.788
50755,7.175
50440,6.314
50082,58.362
50342,20.948
50380,13.114
50467,11.267
50368,30.168
50356,30.719
50471,88.009
50242,56.996
50117,1.125
50654,12.665
50077,56.353
50167,32.546
50086,16.380
50012,56.840
50401,15.562
50056,42.856
50436,10.668
50146,9.168
50136,22.213
50185,64.654
50456,16.254
50759,80.169
50737,30.382
50743,40.249
50051,18.211
50303,83.714
50763,32.599
50451,26.820
50133,86.434
50060,34.661
50101,72.978
50762,21.039
50001,41.190
50454,9.694
50402,29.841
50452,8.353
50414,27.911
50365,73.010
50324,25.985
50222,32.230
50602,6.697
50243,12.856
50120,28.071
50700,30.034
50426,41.578
50408,36.039
50450,31.149
50516,17.308
50124,58.101
50299,32.671
50058,45.345
50546,10.602
50171,21.727
50099,48.505
50235,70.220
50032,75.747
50098,72.632
50169,4.821
50034,22.849
50491,23.646
50295,41.676
50158,17.728
50527,16.114
50427,33.657
50045,23.294
50314,38.650
50312,22.404
50562,7.742
50089,22.087
50119,25.380
50003,42.804
50455,17.834
50739,15.708
50016,31.369
50206,27.718
50392,32.402
50188,22.694
50418,39.186
50226,21.765
50013,28.167
50582,8.000
50210,54.102
50168,30.945
50421,78.177
50252,45.144
50717,7.754
50251,33.005
50329,25.175
50507,19.956
50341,33.184
50129,0.000
50297,11.183
50332,31.790
50610,5.552
50521,18.013
50588,4.819
50768,38.028
50487,27.147
50559,4.648
50747,25.253
50137,39.354
50108,30.361
50047,22.214
50140,18.294
50769,13.720
50326,18.432
50286,23.659
50196,11.634
50198,24.359
50085,39.323
50476,31.286
50258,32.576
50109,25.037
50355,31.342
50254,13.462
50049,20.729
50043,30.612
50139,14.199
50745,41.140
50202,21.308
50218,28.215
50733,19.315
50141,14.773
50557,7.266
50634,9.237
50774,48.083
50465,49.834
50367,15.015
50378,22.910
50057,52.029
50062,44.478
50358,18.728
50087,27.256
50166,26.378
50174,28.354
50093,38.620
50391,27.612
50061,52.124
50172,24.349
50453,9.927
50227,11.409
50118,31.148
50311,22.307
50306,12.713
50014,11.368
50495,21.881
50173,26.809
50415,71.394
50149,29.500
50213,13.783
50540,12.276
50746,24.433
50095,22.646
50257,53.962
50485,24.302
50190,20.360
50443,22.498
50424,42.746
50291,10.415
50336,19.385
50438,7.370
50577,8.477
50407,38.123
50661,16.441
50100,42.861
50143,10.726
50720,23.727
50019,3.500
50736,32.097
50420,38.694
50063,60.101
50005,35.147
50381,23.770
50529,15.448
50628,8.655
50352,27.671
50489,26.183
50244,19.344
50771,15.209
50439,6.834
50621,14.595
50411,75.847
50285,36.302
50400,6.477
50413,33.710
50458,13.493
50713,33.791
50261,27.228
50151,20.143
50179,33.327
50123,16.364
50150,24.175
50404,18.191
50403,15.786
50122,29.267
50369,28.050
50102,19.907
50641,15.093
50553,15.067
50541,11.870
50677,29.057
50228,39.213
50022,21.128
50343,34.831
50081,24.977
50176,29.723
50214,2.555
50219,14.278
50317,25.247
50155,26.528
50237,27.100
50773,31.523
50031,31.804
50156,77.275
50398,35.490
50631,8.664
50460,58.024
50483,24.942
50132,22.596
50567,13.933
50278,23.253
50073,10.494
50111,43.150
50434,62.757
50735,32.626
50246,13.724
50459,55.473
50528,18.433
50357,22.802
50212,40.857
50548,10.034
50282,19.654
50181,12.080
50221,35.035
50593,7.294
50748,39.879
50347,25.208
50163,41.046
50406,36.760
50361,30.003
50041,50.810
50231,49.279
50422,46.791
50280,10.343
50731,26.914
50376,18.662
50281,20.647
50078,25.968
50349,22.123
50650,16.990
50758,7.529
50437,8.219
50178,15.071
50750,17.435
50604,6.258
50008,22.128
50091,44.251
50208,35.197
50393,25.403
50275,27.960
50279,26.511
50148,34.552
50518,20.216
50076,12.572
50265,26.947
50184,17.366
50772,30.731
50319,20.151
50017,9.945
50474,29.169
50292,28.957
50088,41.077
50290,20.896
50542,11.862
50263,22.411
50652,17.085
50260,26.238
50239,38.938
50266,18.516
50153,20.145
50345,18.192
50512,18.233
50135,31.089
50533,15.277
50207,78.591
50011,43.653
50186,76.052
50230,18.985
50359,30.566
50276,22.423
50069,23.898
50271,3.321
50046,11.204
50105,38.427
50464,53.889
50010,24.936
50272,1.361
50756,28.341
50389,6.318
50164,17.013
50726,48.497
50599,2.340
50037,33.607
50416,47.892
50223,2.680
50029,4.302
50550,8.167
50523,17.619
50072,16.646
50066,17.527
50115,56.219
50106,22.842
50144,29.847
50024,10.472
50097,42.730
50116,40.894
50382,12.573
50410,21.544
50154,30.097
50200,10.953
50482,25.648
50194,17.846
50492,22.039
50630,9.519
50147,80.320
50469,16.896
50446,10.718
50298,42.373
50065,31.614
50486,24.347
50727,41.752
50259,32.285
50205,21.998
50318,33.147
50217,38.317
50152,28.523
50626,11.530
50649,14.350
50067,20.989
50678,37.838
50738,29.246
50191,12.103
50159,16.285
50447,7.684
50092,19.459
50537,13.953
50177,25.995
50370,43.923
50131,39.408
50327,24.457
50138,13.637
50308,28.229
50250,30.892
50472,23.079
50544,11.184
50234,61.987
50334,26.208
50614,6.177
50256,22.125
50498,23.414
50322,22.000
50637,12.121
50754,27.945
50307,26.370
50211,25.759
50770,11.756
50006,4.421
50373,27.498
50425,27.817
50549,8.975
50538,15.598
50644,10.024
50350,17.425
50268,22.228
50399,11.500
50039,20.655
50462,62.435
50764,33.077
50083,43.850
50545,13.101
50623,14.647
50716,26.978
50366,27.164
50409,74.965
50383,23.117
50300,6.083
50130,23.502
50027,14.046
50390,31.044
50463,52.221
50386,9.746
50267,11.886
50431,10.552
50192,15.364
50448,30.255
