"source","target","freq"
50745,50295,1
50129,50200,9
50019,50204,53
50550,50162,20
50713,50713,1
50800,50800,1
50458,50458,3
50257,50468,3
50351,50361,1
50330,50330,1
50573,50778,1
50661,50690,4
50286,50451,1
50719,50719,2
50073,50643,1
50069,50009,4
50320,50320,1
50004,50747,13
50286,50762,314
50129,50117,1
50297,50654,12
50181,50046,8
50282,50276,2
50179,50179,31
50597,50786,1
50143,50466,2
50658,50636,2
50005,50248,4
50099,50041,9
50107,50087,1
50535,50535,1
50534,50534,1
50756,50448,5
50244,50244,1
50286,50322,7
50009,50193,2
50464,50463,7
50363,50363,4
50625,50630,1
50150,50150,3
50206,50474,4
50389,50559,3
50298,50424,14
50452,50719,2
50454,50225,7
50731,50359,13
50613,50775,1
50737,50736,1
50395,50773,10
50486,50485,1
50660,50284,3
50129,50146,1
50411,50411,1
50040,50269,1
50594,50725,2
50424,50062,12
50439,50439,1
50428,50428,7
50326,50516,279
50093,50075,1
50621,50621,1
50396,50426,1
50516,50541,214
50440,50622,2
50622,50628,1
50750,50191,2
50035,50035,1
50799,50799,1
50143,50143,4
50541,50541,427
50521,50523,31
50019,50019,54
50377,50377,1
50041,50277,6
50022,50022,1
50492,50331,2
50425,50122,2
50641,50641,1
50327,50317,1
50467,50143,4
50225,50225,7
50466,50227,1
50395,50395,1
50312,50335,2
50553,50553,1
50611,50280,2
50460,50434,1
50419,50419,8
50435,50088,56
50622,50622,1
50440,50439,8
50612,50612,1
50026,50771,2
50594,50594,1
50592,50592,1
50489,50489,1
50331,50331,1
50194,50244,15
50573,50798,1
50439,50438,6
50358,50520,2
50216,50380,6
50301,50129,38
50721,50128,1
50441,50436,1
50382,50254,27
50439,50624,1
50250,50031,1
50529,50529,1
50240,50133,1
50112,50112,1
50023,50376,1
50166,50114,12
50608,50608,1
50104,50113,8
50323,50504,4
50573,50780,1
50092,50364,4
50046,50658,3
50263,50350,2
50542,50546,86
50113,50069,7
50314,50212,1
50628,50628,1
50354,50354,2
50311,50383,31
50014,50014,1
50394,50362,3
50725,50725,2
50364,50364,1
50267,50382,28
50737,50118,2
50047,50110,46
50627,50627,1
50114,50738,11
50516,50017,45
50495,50495,1
50260,50021,2
50303,50160,1
50647,50647,1
50603,50610,1
50749,50345,2
50264,50398,65
50801,50801,1
50196,50267,29
50611,50611,1
50648,50648,1
50046,50243,2
50205,50049,33
50149,50149,1
50721,50726,1
50731,50152,1
50613,50440,32
50550,50573,94
50319,50036,1
50241,50241,8
50088,50121,43
50631,50631,1
50091,50059,4
50264,50264,68
50270,50063,1
50243,50165,1
50452,50073,3
50147,50240,3
50375,50149,1
50053,50053,10
50520,50051,1
50091,50416,1
50379,50379,25
50334,50394,4
50381,50109,1
50020,50020,3
50405,50405,1
50285,50093,6
50026,50170,2
50483,50483,1
50163,50727,2
50715,50715,1
50020,50746,2
50222,50148,2
50540,50540,1
50191,50367,1
50107,50107,12
50176,50176,1
50787,50787,1
50254,50028,24
50198,50329,7
50562,50755,6
50323,50323,2
50613,50642,35
50438,50438,1
50214,50214,2
50084,50084,2
50557,50598,4
50577,50577,1
50276,50158,1
50317,50317,1
50746,50294,1
50291,50291,2
50555,50555,1
50183,50144,35
50199,50199,9
50343,50748,1
50336,50336,8
50088,50252,2
50573,50787,1
50398,50398,60
50206,50368,2
50245,50400,4
50624,50624,1
50559,50718,1
50326,50521,32
50129,50617,7
50257,50257,2
50286,50487,85
50619,50619,1
50505,50505,3
50156,50156,26
50327,50279,3
50553,50567,5
50049,50226,1
50289,50048,1
50129,50430,19
50573,50573,1
50530,50086,2
50034,50209,1
50557,50562,8
50558,50558,1
50253,50347,1
50155,50155,1
50040,50037,12
50327,50393,38
50395,50055,2
50485,50485,1
50286,50134,74
50547,50547,1
50597,50597,1
50326,50326,559
50173,50177,1
50286,50286,1153
50017,50017,89
50246,50404,4
50224,50229,1
50504,50504,1
50319,50319,1
50196,50196,1
50238,50125,1
50573,50169,75
50393,50015,37
50452,50094,11
50183,50176,1
50464,50084,2
50210,50460,2
50214,50029,1
50264,50167,1
50646,50650,1
50130,50150,8
50362,50299,2
50518,50518,1
50279,50265,2
50483,50482,6
50162,50162,1
50179,50396,5
50198,50198,3
50143,50386,1
50314,50743,1
50690,50700,3
50096,50115,1
50179,50011,1
50646,50646,5
50266,50732,16
50049,50358,3
50240,50180,1
50568,50568,1
50636,50637,1
50556,50577,1
50132,50205,34
50275,50002,1
50288,50288,1
50150,50674,5
50121,50156,20
50254,50254,2
50147,50421,1
50169,50245,5
50642,50454,26
50085,50085,1
50130,50677,1
50472,50263,8
50476,50476,1
50341,50735,5
50220,50289,4
50225,50766,6
