"id","label","rank","x","y","cost","target"
50001,"Abodiacum",60,10.909,47.909,0.0,0
50533,"Acroceraunia Pr.",60,19.320,40.440,0.0,0
50005,"Ad Aras",60,-0.977,38.736,0.0,0
50002,"Ad fl. Tigrim",60,42.191,37.341,0.0,0
50003,"Ad Publicanos",60,6.374,45.671,0.0,0
50006,"Adramyttium",80,26.937,39.504,0.0,0
50004,"Ad Tricesimum",60,13.215,46.157,0.0,0
50007,"Aeclanum",80,15.010,41.062,0.0,0
50008,"Aelana",80,34.999,29.531,0.0,0
50009,"Aequum Tuticum",70,15.074,41.257,0.0,0
50010,"Aesernia",80,14.230,41.593,0.0,0
50011,"Aesuris",70,-7.446,37.217,0.0,0
50435,"Aginnum",80,0.627,44.203,0.0,0
50715,"Agrigentum",80,13.582,37.309,0.0,0
50013,"Aguntum",80,12.819,46.839,0.0,0
50622,"Akamas Pr.",60,32.280,35.110,0.0,0
50014,"Ake-Ptolemais",80,35.077,32.926,0.0,0
50546,"Akitas Pr.",60,21.880,36.720,0.0,0
50015,"Alba Fucens",80,13.411,42.079,0.0,0
50016,"Albulae",70,-1.158,35.292,0.0,0
50716,"Aleria",80,9.526,42.124,0.0,0
50017,"Alexandria",100,29.910,31.200,0.0,0
50019,"Alexandria Troas",80,26.152,39.760,0.0,0
50542,"Alpheos (river)",60,21.450,37.610,0.0,0
50020,"Altinum",80,12.407,45.542,0.0,0
50442,"Amaseia",80,35.820,40.648,0.0,0
50446,"Amastris",80,32.380,41.748,0.0,0
50625,"Amathous",80,33.130,34.710,0.0,0
50458,"Amisus",80,36.329,41.304,0.0,0
50021,"Ammaedara",80,8.459,35.573,0.0,0
50682,"Ammon",80,25.544,29.205,0.0,0
50776,"Amorgos",70,25.900,36.830,0.0,0
50718,"Amphipolis",90,23.837,40.814,0.0,0
50777,"Anaphe",70,25.854,36.350,0.0,0
50022,"Ancona",90,13.518,43.615,0.0,0
50023,"Ancyra",90,32.873,39.947,0.0,0
50778,"Andros",70,24.933,37.833,0.0,0
50624,"Anemurium",60,32.800,36.020,0.0,0
50024,"Antiochia",100,36.169,36.208,0.0,0
50026,"Apamea",90,36.406,35.417,0.0,0
50027,"Apamea (Pisidia)",90,30.171,38.074,0.0,0
50028,"Aphroditopolis",80,31.252,29.407,0.0,0
50637,"Apollonia",80,34.816,32.213,0.0,0
50535,"Apollonia (Epirus)",90,19.430,40.770,0.0,0
50611,"Apollonia Pontica",80,27.696,42.417,0.0,0
50545,"Apollonia-Sozousa",80,21.750,32.930,0.0,0
50660,"Apollonopolis Magna",80,32.875,24.983,0.0,0
50030,"Apulum",90,23.590,46.067,0.0,0
50031,"Aquae Sextiae",80,5.441,43.534,0.0,0
50032,"Aquae Sulis",70,-2.372,51.395,0.0,0
50033,"Aquae Terebellicae",70,-1.061,43.732,0.0,0
50034,"Aquileia",90,13.364,45.767,0.0,0
50035,"Aquincum",90,19.047,47.571,0.0,0
50012,"Ara Agrippinensium",90,6.943,50.944,0.0,0
50036,"Arae Philaenorum",70,18.787,30.293,0.0,0
50037,"Arausio",80,4.809,44.137,0.0,0
50039,"Archelais",80,34.048,38.384,0.0,0
50040,"Arelate",90,4.627,43.687,0.0,0
50041,"Argentorate",80,7.765,48.594,0.0,0
50042,"Ariminum",80,12.563,44.059,0.0,0
50043,"Arretium",90,11.862,43.470,0.0,0
50045,"Arupium",70,15.290,44.829,0.0,0
50046,"Ascalon",90,34.546,31.669,0.0,0
50047,"Asculum",90,13.574,42.854,0.0,0
50048,"Asturica",90,-6.049,42.462,0.0,0
50593,"Astypaleia",60,26.350,36.550,0.0,0
50049,"Aternum",80,14.213,42.464,0.0,0
50050,"Athenae",90,23.721,37.974,0.0,0
50559,"Athos Mons",60,24.220,40.260,0.0,0
50502,"Atria",70,12.055,45.054,0.0,0
50447,"Attalea",80,30.700,36.894,0.0,0
50051,"Aufidena",60,16.193,41.335,0.0,0
50052,"Augusta Praetoria",80,7.313,45.736,0.0,0
50053,"Augusta Raurica",80,7.727,47.544,0.0,0
50054,"Augusta Suessionum",70,3.325,49.380,0.0,0
50055,"Augusta Taurinorum",80,7.686,45.069,0.0,0
50124,"Augusta Treverorum",90,6.681,49.761,0.0,0
50056,"Augusta Vindelicum",90,10.894,48.364,0.0,0
50057,"Augustobona",70,4.063,48.307,0.0,0
50058,"Augustobriga",70,-5.677,39.806,0.0,0
50059,"Augustodunum",80,4.283,46.967,0.0,0
50444,"Augustonemetum",80,3.077,45.775,0.0,0
50445,"Augustoritum",80,1.248,45.833,0.0,0
50534,"Aulon",70,19.420,40.510,0.0,0
50531,"Automalax",70,19.130,30.250,0.0,0
50060,"Auzia",80,3.685,36.148,0.0,0
50061,"Avaricum",90,2.405,47.081,0.0,0
50062,"Aventicum",80,7.028,46.881,0.0,0
50658,"Azotus Paralios",80,34.650,31.800,0.0,0
50063,"Bagacum",70,3.810,50.303,0.0,0
50064,"Banasa",80,-6.118,34.609,0.0,0
50065,"Barcino",90,2.159,41.361,0.0,0
50610,"Bargylia",80,27.590,37.190,0.0,0
50066,"Barium",70,16.869,41.128,0.0,0
50067,"Batnae",80,38.424,36.975,0.0,0
50068,"Beneharnum",70,-0.436,43.332,0.0,0
50069,"Beneventum",90,14.761,41.137,0.0,0
50070,"Berenice",80,35.481,23.901,0.0,0
50072,"Beroia",80,37.152,36.219,0.0,0
50073,"Berytus",90,35.521,33.898,0.0,0
50075,"Bilbilis",80,-1.604,41.381,0.0,0
50743,"Boiodurum",60,13.454,48.574,0.0,0
50077,"Bonna",80,7.085,50.744,0.0,0
50078,"Bononia",80,11.348,44.494,0.0,0
50079,"Bononia (Moesia)",80,22.895,44.007,0.0,0
50080,"Bostra",90,36.484,32.517,0.0,0
50432,"Boubastis",70,31.517,30.582,0.0,0
50081,"Bovianum",80,14.473,41.486,0.0,0
50082,"Bracara Augusta",90,-8.424,41.551,0.0,0
50083,"Brigantium",70,9.725,47.495,0.0,0
50085,"Brigetio",80,18.145,47.737,0.0,0
50086,"Brundisium",80,17.938,40.635,0.0,0
50504,"Brundulum",60,12.310,45.190,0.0,0
50087,"Bulla Regia",80,8.742,36.564,0.0,0
